CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
25009267101,Massachusetts,Essex County,1,3573,1708,0,0,0,0,0,0,0,0,0,8.5,96250,1,1,1,1,1,0,0,0,1131,3085,1131,277,738,277,3085,86.35,738,20.64,473,13.24,601,16.81,2999,83.95,18,0.51,21,0.58,1,0.02,7,0.18,39,1.1,51,1.44,100,5.84,108,6.33,1131,31.66,277,7.75,161,4.52,252,7.04,1107,30.97,7,0.18,5,0.15,0,0,2,0.07,10,0.29,21,0.6,37,2.16,41,2.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,871,550,691,3472,21,28,1,7,44,56,116,127
25009267102,Massachusetts,Essex County,1,4710,1733,0,51,1.08,0,0,0,0,0,0,6.4,99107,1,1,1,1,1,0,0,0,3878,4598,3878,654,785,654,4598,97.63,785,16.66,1010,21.45,555,11.78,4396,93.33,17,0.36,70,1.48,0,0,12,0.25,104,2.21,71,1.52,65,3.77,112,6.47,3878,82.33,654,13.88,849,18.03,477,10.12,3699,78.53,15,0.32,64,1.36,0,0,11,0.23,88,1.88,59,1.24,55,3.19,94,5.44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,939,1033,569,4506,17,70,0,12,105,72,80,134
25009268100,Massachusetts,Essex County,1,2668,871,0,5,0.19,0,0,0,0,0,0,1.7,170563,1,1,1,1,1,0,0,0,1652,2668,1652,57,124,57,2668,100,124,4.65,823,30.85,220,8.25,2591,97.11,13,0.49,31,1.16,0,0,4,0.15,29,1.09,51,1.91,27,3.15,29,3.34,1652,61.9,57,2.12,493,18.48,126,4.74,1597,59.87,7,0.25,23,0.87,0,0,3,0.1,22,0.82,35,1.33,13,1.46,18,2.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,129,823,220,2591,13,31,0,4,29,51,29,31
25009268200,Massachusetts,Essex County,1,6322,2609,0,242,3.83,0,0,0,0,0,0,8.8,130766,0,1,0,1,0,0,0,0,18,1496,18,3,317,3,1496,23.66,317,5.02,300,4.75,400,6.33,1437,22.73,7,0.12,16,0.25,0,0,2,0.04,33,0.52,37,0.59,26,0.99,34,1.32,18,0.29,3,0.05,3,0.04,6,0.09,17,0.27,0,0,0,0,0,0,0,0,1,0.01,0,0,1,0.02,0,0.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1149,1394,1246,6047,37,83,1,9,145,107,99,167
25009268300,Massachusetts,Essex County,1,4126,2096,0,73,1.77,0,0,0,0,1,0,5.4,123472,0,1,0,1,0,0,0,1,4,2316,4,1,337,1,2316,56.12,337,8.17,434,10.53,407,9.86,2257,54.7,4,0.09,22,0.53,0,0,6,0.14,27,0.66,27,0.65,123,5.88,51,2.42,4,0.09,1,0.02,0,0,3,0.06,4,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,943,664,743,3972,23,45,0,9,77,68,272,98
25009268400,Massachusetts,Essex County,0,4300,2046,0,66,1.53,0,0,0,0,0,0,2.1,153000,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2359,54.85,198,4.6,419,9.75,418,9.72,2297,53.41,13,0.3,20,0.46,0,0,2,0.05,27,0.63,28,0.66,11,0.54,39,1.9,864,20.1,35,0.8,136,3.17,151,3.52,842,19.59,4,0.08,7,0.17,0,0,1,0.02,10,0.23,9,0.21,0,0,15,0.74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,494,749,671,4178,25,36,0,2,59,65,33,78
25009269100,Massachusetts,Essex County,0,6666,2594,0,105,1.58,0,0,0,0,0,0,6.9,108654,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,6666,100,794,11.91,1505,22.58,924,13.86,6523,97.85,17,0.26,44,0.66,0,0,10,0.15,72,1.08,67,1.01,0,0,114,4.4,6483,97.26,777,11.65,1468,22.02,892,13.38,6346,95.19,17,0.26,42,0.62,0,0,10,0.15,69,1.04,64,0.97,0,0,111,4.26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,810,1505,924,6523,17,44,0,10,72,67,0,123
25009270100,Massachusetts,Essex County,1,5856,2155,0,53,0.91,0,0,0,0,0,0,4.3,130450,1,1,1,1,1,0,0,0,4204,5242,4204,409,481,409,5242,89.51,481,8.22,1302,22.23,592,10.1,5110,87.26,15,0.26,53,0.91,1,0.01,1,0.02,62,1.05,52,0.88,60,2.78,116,5.4,4204,71.78,409,6.99,1054,18.01,447,7.63,4089,69.82,13,0.22,46,0.79,1,0.01,1,0.02,54,0.92,34,0.58,47,2.16,92,4.26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,548,1431,672,5705,17,60,4,1,69,59,69,133
25011040100,Massachusetts,Franklin County,0,4494,1898,0,28,0.62,0,0,0,0,0,1,13.4,64909,0,0,0,0,0,0,0,0,180,180,NULL,64,64,NULL,4494,100,1359,30.24,841,18.71,796,17.71,4340,96.57,21,0.47,31,0.69,0,0,12,0.27,90,2,47,1.05,43,2.26,211,11.11,4494,100,1359,30.24,841,18.71,796,17.71,4340,96.57,21,0.47,31,0.69,0,0,12,0.27,90,2,47,1.05,43,2.26,211,11.11,180,4.01,64,1.43,37,0.81,43,0.95,177,3.94,1,0.03,0,0,0,0,0,0,2,0.04,1,0.03,3,0.15,8,0.44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1340,841,796,4340,21,31,0,12,90,47,40,203
25011040200,Massachusetts,Franklin County,0,4340,1746,0,164,3.78,0,0,0,0,0,1,7.3,78631,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,4340,100,959,22.1,801,18.46,668,15.39,4225,97.35,17,0.39,37,0.85,0,0,7,0.16,54,1.24,37,0.85,71,4.08,167,9.58,4160,95.85,928,21.38,761,17.54,638,14.7,4053,93.38,17,0.39,34,0.78,0,0,6,0.14,50,1.16,35,0.81,69,3.93,160,9.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,953,801,668,4225,17,37,0,7,54,37,71,167
25011040300,Massachusetts,Franklin County,0,3032,1226,0,30,0.99,0,0,0,0,0,0,3.5,91452,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2619,86.39,371,12.23,618,20.38,369,12.16,2538,83.72,13,0.43,9,0.3,0,0,5,0.16,54,1.78,53,1.75,48,3.88,41,3.37,2053,67.72,284,9.35,503,16.6,264,8.71,1986,65.49,12,0.38,9,0.3,0,0,2,0.07,45,1.48,47,1.54,34,2.79,32,2.57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,457,701,448,2944,13,9,0,6,60,56,61,49
25011040400,Massachusetts,Franklin County,0,3428,1465,0,5,0.15,0,0,0,0,0,1,10.7,76583,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,3428,100,979,28.56,681,19.87,459,13.39,3319,96.82,21,0.61,17,0.5,0,0,16,0.47,55,1.6,60,1.75,73,5,216,14.76,3428,100,979,28.56,681,19.87,459,13.39,3319,96.82,21,0.61,17,0.5,0,0,16,0.47,55,1.6,60,1.75,73,5,216,14.76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,967,681,459,3319,21,17,0,16,55,60,70,213
25011040501,Massachusetts,Franklin County,1,4264,1600,0,31,0.73,1,1,1,1,1,1,12.7,70500,1,1,1,1,1,0,0,1,3974,4248,3974,1158,1219,1158,4248,99.63,1219,28.59,1085,25.44,468,10.98,4051,95,55,1.28,15,0.35,1,0.02,12,0.28,115,2.69,146,3.42,190,11.85,306,19.14,3974,93.2,1158,27.15,1016,23.84,435,10.21,3789,88.86,50,1.17,13,0.3,1,0.02,11,0.25,110,2.59,135,3.16,175,10.94,286,17.86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1151,1089,470,4066,55,15,1,12,115,146,182,306
25011040502,Massachusetts,Franklin County,0,3575,1572,0,19,0.53,0,0,0,0,0,1,8,59620,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2814,78.71,1079,30.19,551,15.42,504,14.11,2668,74.63,19,0.52,54,1.5,0,0,9,0.26,64,1.8,50,1.41,67,4.25,223,14.2,2121,59.32,763,21.35,447,12.51,295,8.25,2013,56.32,14,0.4,41,1.14,0,0,5,0.13,48,1.34,42,1.17,26,1.68,158,10.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1443,708,674,3395,26,59,0,19,76,76,91,282
25011040600,Massachusetts,Franklin County,0,4612,1880,0,15,0.33,0,0,0,0,0,0,7.3,96574,0,0,0,0,0,0,0,0,0,0,NULL,0,0,NULL,4612,100,890,19.3,961,20.84,578,12.53,4306,93.37,61,1.32,70,1.52,0,0,15,0.33,160,3.47,104,2.25,34,1.78,136,7.21,4566,99,882,19.13,953,20.67,569,12.34,4260,92.37,61,1.32,70,1.52,0,0,15,0.33,160,3.46,102,2.22,33,1.78,134,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,925,961,578,4306,61,70,0,15,160,104,36,144
25011040701,Massachusetts,Franklin County,1,4213,1834,0,141,3.35,1,1,1,0,0,1,16.4,50313,1,1,1,1,1,0,0,0,587,1750,587,214,657,214,1750,41.53,657,15.58,315,7.47,352,8.35,1618,38.39,21,0.5,17,0.4,0,0,5,0.11,89,2.12,101,2.39,73,3.98,183,9.98,587,13.93,214,5.09,81,1.92,143,3.41,534,12.67,12,0.3,2,0.05,0,0,2,0.05,36,0.86,49,1.15,27,1.48,50,2.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1638,841,631,3798,74,29,1,18,293,346,268,449
25011040702,Massachusetts,Franklin County,0,4224,1860,0,1,0.02,0,0,0,0,1,0,6.2,82695,0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,4224,100,759,17.96,722,17.09,715,16.93,4025,95.29,27,0.64,38,0.9,1,0.02,7,0.17,126,2.98,92,2.18,115,6.17,305,16.39,3760,89.01,670,15.85,662,15.68,569,13.48,3566,84.42,25,0.6,37,0.88,0,0,6,0.15,125,2.95,88,2.09,77,4.15,266,14.28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,801,722,715,4025,27,38,1,7,126,92,122,311
25011040800,Massachusetts,Franklin County,1,5180,2274,0,53,1.02,1,1,1,0,0,1,10.6,70625,1,1,1,1,1,0,0,0,5155,5180,5155,1558,1566,1558,5180,100,1566,30.23,789,15.23,576,11.12,4665,90.06,118,2.28,196,3.78,2,0.04,15,0.29,184,3.55,207,4,94,4.14,60,2.64,5155,99.52,1558,30.07,785,15.15,574,11.09,4644,89.66,118,2.28,196,3.78,2,0.04,15,0.29,180,3.48,203,3.91,94,4.12,60,2.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1575,789,576,4665,118,196,2,15,184,207,79,59
25011040900,Massachusetts,Franklin County,0,5125,2053,0,332,6.48,0,0,0,0,1,0,9.2,98421,0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,5125,100,970,18.92,1073,20.94,790,15.41,4867,94.97,41,0.8,98,1.91,1,0.02,3,0.06,115,2.24,132,2.58,133,6.49,115,5.59,5119,99.88,968,18.89,1072,20.93,790,15.41,4862,94.87,41,0.8,97,1.89,1,0.02,3,0.06,115,2.24,131,2.56,133,6.48,115,5.59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,897,1073,790,4867,41,98,1,3,115,132,124,111
25011041000,Massachusetts,Franklin County,1,3271,1375,0,112,3.42,0,0,0,0,0,0,14.1,80842,1,1,1,1,1,0,0,0,2401,2870,2401,499,561,499,2870,87.73,561,17.15,634,19.37,435,13.31,2651,81.05,50,1.53,27,0.84,0,0,6,0.18,135,4.14,160,4.88,59,4.26,171,12.41,2401,73.4,499,15.25,534,16.33,357,10.91,2212,67.61,44,1.34,21,0.63,0,0,6,0.18,119,3.64,140,4.26,43,3.15,142,10.34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,645,673,604,3042,53,30,0,6,140,167,67,186
25011041100,Massachusetts,Franklin County,1,3603,1609,0,65,1.8,0,0,0,0,1,0,5.8,79737,1,1,1,1,1,0,0,1,1180,3360,1180,283,862,283,3360,93.25,862,23.92,608,16.86,658,18.26,3227,89.57,24,0.67,31,0.87,0,0,7,0.19,70,1.95,78,2.16,104,6.43,134,8.35,1180,32.74,283,7.84,248,6.89,188,5.22,1136,31.52,12,0.33,9,0.25,0,0,4,0.1,19,0.54,22,0.62,35,2.17,44,2.72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,926,637,733,3458,26,36,0,7,76,82,113,148
25011041200,Massachusetts,Franklin County,1,3156,1333,0,37,1.17,0,0,0,0,0,0,9.3,89902,0,1,0,1,0,0,0,0,NULL,1774,NULL,NULL,455,NULL,1774,56.21,455,14.42,380,12.04,260,8.22,1667,52.81,27,0.87,16,0.52,0,0,4,0.14,59,1.88,52,1.65,49,3.68,88,6.58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,789,703,419,2960,40,37,0,11,108,115,85,158
25011041300,Massachusetts,Franklin County,1,4642,2430,0,113,2.43,0,1,0,0,0,1,16.7,48682,0,1,0,1,0,0,0,0,NULL,802,NULL,NULL,378,NULL,802,17.28,378,8.13,141,3.03,96,2.06,755,16.27,15,0.32,4,0.09,0,0,0,0,27,0.59,38,0.83,56,2.32,84,3.47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2287,765,709,4238,78,90,1,27,208,242,323,536
25011041400,Massachusetts,Franklin County,1,2784,1105,0,279,10.02,0,1,0,1,1,1,22.7,39849,0,1,0,1,0,0,0,1,108,840,108,29,233,29,840,30.16,233,8.36,153,5.5,203,7.31,780,28.04,10,0.37,17,0.62,0,0,4,0.14,28,0.99,26,0.94,122,11.05,125,11.28,108,3.87,29,1.04,23,0.83,17,0.63,100,3.58,0,0.01,3,0.11,0,0,0,0,5,0.16,3,0.1,15,1.38,15,1.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1050,658,414,2425,100,46,4,10,199,247,261,352
25011041501,Massachusetts,Franklin County,0,3634,1530,0,4,0.11,0,0,0,0,0,0,5,106607,0,0,0,0,0,0,0,0,31,31,NULL,8,8,NULL,3634,100,503,13.85,741,20.39,504,13.87,3507,96.51,10,0.28,20,0.55,2,0.06,16,0.44,79,2.17,59,1.62,44,2.86,55,3.58,3634,100,503,13.85,741,20.39,504,13.87,3507,96.51,10,0.28,20,0.55,2,0.06,16,0.44,79,2.17,59,1.62,44,2.86,55,3.58,31,0.85,8,0.21,9,0.25,4,0.1,29,0.8,0,0,1,0.02,0,0,0,0,1,0.03,1,0.03,0,0.01,0,0.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,472,741,504,3507,10,20,2,16,79,59,37,52
25011041502,Massachusetts,Franklin County,0,3795,1672,0,52,1.37,0,0,0,0,0,1,11,76599,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2515,66.26,484,12.75,448,11.8,467,12.29,2445,64.44,10,0.26,15,0.4,0,0,4,0.1,40,1.05,15,0.4,20,1.19,135,8.09,1962,51.71,292,7.71,361,9.5,356,9.37,1911,50.35,9,0.24,8,0.22,0,0,2,0.06,32,0.84,10,0.26,1,0.05,102,6.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,966,684,690,3659,15,37,0,7,77,35,87,217
25013800101,Massachusetts,Hampden County,1,4052,1535,0,4,0.1,0,1,0,1,1,1,20.1,47031,0,1,0,1,0,0,0,1,25,2477,25,18,1301,18,2477,61.12,1301,32.1,808,19.95,206,5.08,1268,31.29,521,12.86,34,0.83,1,0.02,11,0.27,642,15.85,965,23.83,154,10.03,281,18.32,25,0.63,18,0.43,7,0.18,2,0.05,14,0.34,5,0.12,0,0.01,0,0,0,0.01,6,0.14,12,0.3,2,0.15,3,0.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1572,1184,419,2452,688,67,1,19,825,1289,226,475
